2025-06-04T17:25:21Z | Firewall | ALLOW | user=admin | ip=192.168.34.183
2025-06-04T17:26:22Z | AuthSystem | FILE_ACCESSED | user=alice | ip=192.168.253.122
2025-06-04T17:26:22Z | WebServer | PORT_SCAN_DETECTED | user=bob | ip=192.168.253.72
2025-06-04T17:26:24Z | AuthSystem | VPN_DISCONNECTED | user=charlie | ip=192.168.37.1
2025-06-04T17:26:25Z | Firewall | PORT_SCAN_DETECTED | user=eve | ip=192.168.126.235
2025-06-04T17:26:26Z | AuthSystem | MALWARE_DETECTED | user=charlie | ip=192.168.162.223
2025-06-04T17:26:27Z | VPN | FILE_ACCESSED | user=eve | ip=192.168.234.65
2025-06-04T17:26:29Z | WebServer | LOGIN_FAILURE | user=eve | ip=192.168.45.89
2025-06-04T17:26:30Z | AuthSystem | PORT_SCAN_DETECTED | user=eve | ip=192.168.190.129
2025-06-04T17:26:32Z | VPN | DENY | user=eve | ip=192.168.83.159
2025-06-04T17:26:32Z | Firewall | ALLOW | user=eve | ip=192.168.53.2
2025-06-04T17:26:34Z | AuthSystem | PORT_SCAN_DETECTED | user=charlie | ip=192.168.118.160
2025-06-04T17:26:36Z | Firewall | DENY | user=admin | ip=192.168.28.251
2025-06-04T17:26:37Z | VPN | PRIV_ESC_ATTEMPT | user=admin | ip=192.168.201.74
2025-06-04T17:26:39Z | AuthSystem | PRIV_ESC_ATTEMPT | user=admin | ip=192.168.244.35
2025-06-04T17:26:41Z | VPN | PRIV_ESC_ATTEMPT | user=admin | ip=192.168.101.75
2025-06-04T17:26:41Z | WebServer | FILE_ACCESSED | user=eve | ip=192.168.179.192
2025-06-04T17:26:43Z | AuthSystem | LOGIN_SUCCESS | user=bob | ip=192.168.235.103
2025-06-04T17:26:44Z | AuthSystem | VPN_CONNECTED | user=admin | ip=192.168.1.24
2025-06-04T17:26:46Z | AuthSystem | VPN_CONNECTED | user=eve | ip=192.168.3.81
2025-06-04T17:26:47Z | WebServer | PORT_SCAN_DETECTED | user=alice | ip=192.168.90.123
2025-06-04T17:26:47Z | VPN | DENY | user=eve | ip=192.168.112.169
2025-06-04T17:26:49Z | WebServer | FILE_ACCESSED | user=admin | ip=192.168.20.148
2025-06-04T17:26:50Z | Endpoint | LOGIN_SUCCESS | user=charlie | ip=192.168.107.13
2025-06-04T17:26:51Z | Endpoint | FILE_ACCESSED | user=eve | ip=192.168.96.108
2025-06-04T17:26:53Z | Endpoint | FILE_ACCESSED | user=charlie | ip=192.168.44.187
2025-06-04T17:26:54Z | Firewall | VPN_DISCONNECTED | user=alice | ip=192.168.129.217
2025-06-04T17:26:55Z | WebServer | LOGIN_FAILURE | user=charlie | ip=192.168.217.150
2025-06-04T17:26:56Z | Firewall | VPN_CONNECTED | user=admin | ip=192.168.159.165
2025-06-04T17:26:57Z | WebServer | PRIV_ESC_ATTEMPT | user=eve | ip=192.168.143.183
2025-06-04T17:26:58Z | Endpoint | VPN_CONNECTED | user=bob | ip=192.168.218.200
2025-06-04T17:26:59Z | Firewall | LOGIN_FAILURE | user=bob | ip=192.168.100.127
2025-06-04T17:27:00Z | Endpoint | LOGIN_SUCCESS | user=bob | ip=192.168.248.188
2025-06-04T17:27:02Z | Firewall | ALLOW | user=alice | ip=192.168.78.233
2025-06-04T17:27:03Z | VPN | MALWARE_DETECTED | user=admin | ip=192.168.160.225
2025-06-04T17:27:05Z | WebServer | VPN_CONNECTED | user=eve | ip=192.168.175.199
2025-06-04T17:27:07Z | Endpoint | FILE_ACCESSED | user=alice | ip=192.168.236.215
2025-06-04T17:27:07Z | WebServer | FILE_ACCESSED | user=admin | ip=192.168.79.110
2025-06-04T17:27:09Z | AuthSystem | VPN_CONNECTED | user=alice | ip=192.168.69.168
2025-06-04T17:27:11Z | VPN | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.23.208
2025-06-04T17:27:12Z | VPN | VPN_DISCONNECTED | user=alice | ip=192.168.93.233
2025-06-04T17:27:13Z | Endpoint | VPN_DISCONNECTED | user=charlie | ip=192.168.172.223
2025-06-04T17:27:14Z | AuthSystem | DENY | user=eve | ip=192.168.250.253
2025-06-04T17:27:15Z | Firewall | PRIV_ESC_ATTEMPT | user=admin | ip=192.168.228.210
2025-06-04T17:27:16Z | WebServer | VPN_CONNECTED | user=eve | ip=192.168.44.4
2025-06-04T17:27:18Z | Firewall | PORT_SCAN_DETECTED | user=admin | ip=192.168.99.34
2025-06-04T17:27:19Z | Endpoint | FILE_ACCESSED | user=bob | ip=192.168.151.166
2025-06-04T17:27:19Z | Firewall | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.199.138
2025-06-04T17:27:21Z | AuthSystem | VPN_CONNECTED | user=alice | ip=192.168.185.65
2025-06-04T17:27:22Z | Endpoint | VPN_CONNECTED | user=admin | ip=192.168.98.162
2025-06-04T17:27:23Z | Firewall | VPN_DISCONNECTED | user=eve | ip=192.168.2.214
2025-06-04T17:27:25Z | VPN | PORT_SCAN_DETECTED | user=alice | ip=192.168.139.125
2025-06-04T17:27:26Z | Endpoint | LOGIN_FAILURE | user=charlie | ip=192.168.83.51
2025-06-04T17:27:27Z | AuthSystem | LOGIN_FAILURE | user=admin | ip=192.168.159.100
2025-06-04T17:27:29Z | Firewall | VPN_DISCONNECTED | user=alice | ip=192.168.219.199
2025-06-04T17:27:30Z | Endpoint | FILE_ACCESSED | user=admin | ip=192.168.103.117
2025-06-04T17:27:31Z | WebServer | DENY | user=alice | ip=192.168.233.218
2025-06-04T17:27:33Z | AuthSystem | LOGIN_SUCCESS | user=admin | ip=192.168.174.7
2025-06-04T17:27:34Z | VPN | MALWARE_DETECTED | user=admin | ip=192.168.165.242
2025-06-04T17:27:36Z | Endpoint | PORT_SCAN_DETECTED | user=charlie | ip=192.168.60.173
2025-06-04T17:27:38Z | VPN | ALLOW | user=alice | ip=192.168.32.116
2025-06-04T17:27:39Z | Firewall | FILE_ACCESSED | user=charlie | ip=192.168.232.205
2025-06-04T17:27:40Z | AuthSystem | LOGIN_FAILURE | user=alice | ip=192.168.68.125
2025-06-04T17:27:41Z | AuthSystem | DENY | user=eve | ip=192.168.136.29
2025-06-04T17:27:43Z | WebServer | VPN_DISCONNECTED | user=charlie | ip=192.168.176.11
2025-06-04T17:27:44Z | Endpoint | VPN_DISCONNECTED | user=charlie | ip=192.168.245.3
2025-06-04T17:27:46Z | AuthSystem | FILE_ACCESSED | user=bob | ip=192.168.189.187
2025-06-04T17:27:48Z | Endpoint | LOGIN_SUCCESS | user=eve | ip=192.168.108.40
2025-06-04T17:27:49Z | Endpoint | MALWARE_DETECTED | user=charlie | ip=192.168.73.185
2025-06-04T17:27:49Z | Firewall | DENY | user=admin | ip=192.168.164.83
2025-06-04T17:27:50Z | Firewall | MALWARE_DETECTED | user=charlie | ip=192.168.20.114
2025-06-04T17:27:51Z | Endpoint | VPN_DISCONNECTED | user=bob | ip=192.168.43.98
2025-06-04T17:27:52Z | VPN | PRIV_ESC_ATTEMPT | user=charlie | ip=192.168.252.204
2025-06-04T17:27:53Z | VPN | FILE_ACCESSED | user=eve | ip=192.168.161.156
2025-06-04T17:27:54Z | Endpoint | FILE_ACCESSED | user=alice | ip=192.168.143.30
2025-06-04T17:27:55Z | Endpoint | FILE_ACCESSED | user=eve | ip=192.168.149.159
2025-06-04T17:27:56Z | Endpoint | LOGIN_SUCCESS | user=eve | ip=192.168.176.175
2025-06-04T17:27:57Z | Endpoint | VPN_CONNECTED | user=charlie | ip=192.168.20.120
2025-06-04T17:27:58Z | VPN | ALLOW | user=eve | ip=192.168.166.71
2025-06-04T17:27:59Z | Firewall | ALLOW | user=eve | ip=192.168.156.85
2025-06-04T17:28:00Z | Firewall | PRIV_ESC_ATTEMPT | user=alice | ip=192.168.205.21
2025-06-04T17:28:01Z | AuthSystem | LOGIN_FAILURE | user=eve | ip=192.168.62.27
2025-06-04T17:28:02Z | WebServer | PORT_SCAN_DETECTED | user=charlie | ip=192.168.203.182
2025-06-04T17:28:03Z | Endpoint | LOGIN_SUCCESS | user=eve | ip=192.168.86.5
2025-06-04T17:28:03Z | WebServer | LOGIN_SUCCESS | user=eve | ip=192.168.54.95
2025-06-04T17:28:04Z | Firewall | VPN_CONNECTED | user=bob | ip=192.168.138.114
2025-06-04T17:28:06Z | Endpoint | MALWARE_DETECTED | user=admin | ip=192.168.2.97
2025-06-04T17:28:08Z | AuthSystem | VPN_CONNECTED | user=eve | ip=192.168.192.29
2025-06-04T17:28:09Z | AuthSystem | MALWARE_DETECTED | user=bob | ip=192.168.33.116
2025-06-04T17:28:10Z | AuthSystem | DENY | user=bob | ip=192.168.232.74
2025-06-04T17:28:12Z | Firewall | FILE_ACCESSED | user=alice | ip=192.168.66.166
2025-06-04T17:28:12Z | Endpoint | DENY | user=alice | ip=192.168.174.129
2025-06-04T17:28:13Z | AuthSystem | DENY | user=admin | ip=192.168.110.103
2025-06-04T17:28:14Z | Firewall | ALLOW | user=admin | ip=192.168.203.48
2025-06-04T17:28:15Z | AuthSystem | MALWARE_DETECTED | user=charlie | ip=192.168.239.176
2025-06-04T17:28:16Z | VPN | LOGIN_FAILURE | user=alice | ip=192.168.140.250
2025-06-04T17:28:17Z | AuthSystem | VPN_DISCONNECTED | user=bob | ip=192.168.81.98
